PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40600480,Strategies for implementing long-acting cabotegravir for PrEP in US clinics serving Black women: interim healthcare provider findings from the EBONI study.,2025 Jul,Nelson KL; Evans Cooper T; Lawson Y; Mocherla S; Dyson A; Sutherland-Philips D; Swygard H; Petty L; Jeffery P; Sutton K; Bonner CP; Andrews SM; Chang S; Budnik P; Smith K; de Ruiter A; Czarnogorski M; Pilgrim N,"ViiV Healthcare, Durham, North Carolina, USA.; ViiV Healthcare, Durham, North Carolina, USA.; MadeWell OBGYN, Dallas, Texas, USA.; Legacy Community Health Services, Houston, Texas, USA.; ViiV Healthcare, Durham, North Carolina, USA.; ViiV Healthcare, Durham, North Carolina, USA.; ViiV Healthcare, Durham, North Carolina, USA.; ViiV Healthcare, Durham, North Carolina, USA.; GSK, London, UK.; ViiV Healthcare, Durham, North Carolina, USA.; RTI International, Research Triangle Park, North Carolina, USA.; RTI International, Research Triangle Park, North Carolina, USA.; RTI International, Research Triangle Park, North Carolina, USA.; ViiV Healthcare, London, UK.; ViiV Healthcare, Durham, North Carolina, USA.; ViiV Healthcare, London, UK.; ViiV Healthcare, Durham, North Carolina, USA.; ViiV Healthcare, Durham, North Carolina, USA.",
40600163,Barriers to vaccine acceptance and immunization coverage in Kazakhstan: a mixed-methods study using the COM-B framework.,2025,Kassabekova L; Smagul M; Nukenova G; Satayeva A; Aubakirova B; Yesmagambetova A,"Scientific and Practical Center for Sanitary and Epidemiological Expertise, Astana, Kazakhstan.; National Center for Public Health, Astana, Kazakhstan.; National Center for Public Health, Astana, Kazakhstan.; Scientific and Practical Center for Sanitary and Epidemiological Expertise, Astana, Kazakhstan.; National Center for Public Health, Astana, Kazakhstan.; National Center for Public Health, Astana, Kazakhstan.",
40599452,Safflower-Derived Cationic Lipid Nanoparticles: Potential Impact on the Delivery of SARS-CoV-2 MRNA Transcripts.,2024 Dec,Nasr Isfahani H; Hariri AA; Sharifnia Z; Moradi A,"Biotechnology Department, Behyaar Sanaat Sepahan Company, Isfahan, Iran.; Biotechnology Department, Behyaar Sanaat Sepahan Company, Isfahan, Iran.; Biotechnology Department, Behyaar Sanaat Sepahan Company, Isfahan, Iran.; Biotechnology Department, Behyaar Sanaat Sepahan Company, Isfahan, Iran.",
40599443,"Assessment of COVID-19 Vaccine Knowledge, Attitude and Practice among the General Population in Duhok Province, Kurdistan Region of Iraq: A Retrospective Cross-Sectional Study.",2024 Dec,,,
40599434,"A Concise Review of Major Challenges in the Vaccination, Diagnosis and Treatment of Novel Coronavirus Disease 2019.",2024 Dec,,,
40599414,Mental Health Consequences of COVID-19 Vaccine Side Effects: Findings From a Cross-Sectional Analysis.,2025 Jul,Zaman FB,"International Centre for Diarrhoeal Disease Research, Bangladesh (icddr,b) Mohakhali Dhaka Bangladesh.",
40599303,The Effectiveness and Influence of COVID-19 Vaccination on Perinatal Individuals and Their Newborns: An Updated Meta-Analysis.,2025,,,
40599251,"COVID-19 related symptoms and the second infection status of SARS-CoV-2 in patients with lung cancer: A single-center, six-month longitudinal observational study.",2025 Dec,,,
40599176,Participant experiences in a decentralized clinical trial using digital health technologies: The ACTIV-6 study.,2025,Dunsmore SE; Thicklin F,"National Center for Advancing Translational Sciences, Bethesda, MD, USA.; Stakeholder Advisory Committee, Pittsburgh, PA, USA.",
40598392,BM study: a monocentric prospective observational cohort study on neonatal humoral immunity against COVID-19 secondary to transplacental antibody transfer and breastfeeding.,2025 Jul 1,,,
40597698,Over- and under-estimation of vaccine effectiveness.,2025 Jul 1,Aran D,"Current address: Public Health Services, Ministry of Health, Jerusalem, Israel.",
40597327,False-positive reactivity of fourth-generation HIV enzyme immunoassay caused by COVID-19 and other infections.,2025 Jul 1,,,
40596958,Indicators of vaccination status in patients with chronic kidney disease: the importance of recommendations from healthcare providers.,2025 Jul 1,,,
40596750,"April 2025 ACIP Meeting Update: Influenza, COVID-19, HPV, RSV and Other Immunizations.",2025 Jul 2,,,
40596654,Long-term spatial patterns in COVID-19 booster vaccine uptake.,2025 Jul 1,,,
40595733,Vaccination against COVID-19 and Outcomes in Patients with COVID-19 Infection and Stroke.,2025 Jul 1,,,
40595446,Influenza and pneumococcal vaccines uptake among pharmacists: systematic review and meta-analysis.,2025 Jul 1,Switalski J,"Department of Health Policy Programs, Department of Health Technology Assessment, Agency for Health Technology Assessment and Tariff System, Warsaw, Poland.",
40595400,"Immunogenicity and safety of CoronaVac vaccine in children and adolescents (Immunita-002, Brazil): A phase IV six-month follow up.",2025 Jul 2,Corsini CA; da Silva Martins PF; Filgueiras PS; Lourenco AJ; de Souza Lima AE; Gomes SVC; Alves PA; da Rocha Fernandes G; Castro LLME; Teixeira-Carvalho A; Azevedo ACC; De Almeida Leitao Curimbaba C; Lorencini DA; Junior EM; da Silva VM; Nogueira ML; Campos GRF; Dos Reis JGAC; de Sousa Reis EV; Dos Reis Castilho L; Filho OAM; Grenfell RFQE,"Oswaldo Cruz Foundation (FIOCRUZ), 1715 Augusto de Lima Avenue, Belo Horizonte, Minas Gerais, 30190-002, Brazil.; Oswaldo Cruz Foundation (FIOCRUZ), 1715 Augusto de Lima Avenue, Belo Horizonte, Minas Gerais, 30190-002, Brazil.; Oswaldo Cruz Foundation (FIOCRUZ), 1715 Augusto de Lima Avenue, Belo Horizonte, Minas Gerais, 30190-002, Brazil.; Oswaldo Cruz Foundation (FIOCRUZ), 1715 Augusto de Lima Avenue, Belo Horizonte, Minas Gerais, 30190-002, Brazil.; Oswaldo Cruz Foundation (FIOCRUZ), 1715 Augusto de Lima Avenue, Belo Horizonte, Minas Gerais, 30190-002, Brazil.; Oswaldo Cruz Foundation (FIOCRUZ), 1715 Augusto de Lima Avenue, Belo Horizonte, Minas Gerais, 30190-002, Brazil.; Oswaldo Cruz Foundation (FIOCRUZ), 1715 Augusto de Lima Avenue, Belo Horizonte, Minas Gerais, 30190-002, Brazil.; Oswaldo Cruz Foundation (FIOCRUZ), 1715 Augusto de Lima Avenue, Belo Horizonte, Minas Gerais, 30190-002, Brazil.; Oswaldo Cruz Foundation (FIOCRUZ), 1715 Augusto de Lima Avenue, Belo Horizonte, Minas Gerais, 30190-002, Brazil.; Oswaldo Cruz Foundation (FIOCRUZ), 1715 Augusto de Lima Avenue, Belo Horizonte, Minas Gerais, 30190-002, Brazil.; Oswaldo Cruz Foundation (FIOCRUZ), 1715 Augusto de Lima Avenue, Belo Horizonte, Minas Gerais, 30190-002, Brazil.; Instituto Butantan, Sao Paulo, Sao Paulo, 05503-900, Brazil.; Instituto Butantan, Sao Paulo, Sao Paulo, 05503-900, Brazil.; Instituto Butantan, Sao Paulo, Sao Paulo, 05503-900, Brazil.; Instituto Butantan, Sao Paulo, Sao Paulo, 05503-900, Brazil.; Serrana Clinical Research Center. 438, 13 de Maio, Centro, Serrana, Sao Paulo, 14150-000, Brazil.; Faculty of Medicine of Sao Jose Do Rio Preto (FAMERP), 5416 Brigadeiro Faria Lima Avenue, Sao Jose Do Rio Preto, Sao Paulo, 15090-000, Brazil.; Faculty of Medicine of Sao Jose Do Rio Preto (FAMERP), 5416 Brigadeiro Faria Lima Avenue, Sao Jose Do Rio Preto, Sao Paulo, 15090-000, Brazil.; Belo Horizonte Municipal Health Department (SMS), 2336 Afonso Pena Avenue, Belo Horizonte, 30130-012, Brazil.; Belo Horizonte Municipal Health Department (SMS), 2336 Afonso Pena Avenue, Belo Horizonte, 30130-012, Brazil.; Serrana Clinical Research Center. 438, 13 de Maio, Centro, Serrana, Sao Paulo, 14150-000, Brazil.; Serrana Clinical Research Center. 438, 13 de Maio, Centro, Serrana, Sao Paulo, 14150-000, Brazil.",
40595319,Comparative analysis of humoral immunity kinetics following three COVID-19 vaccines in a multi-ethnic cohort of medical students and healthcare professionals across Malaysia.,2025 Jul 1,Barman M; Giribabu N,"Department of Physiology, Faculty of Medicine, Universiti Malaya, Kuala Lumpur, Malaysia.; Department of Physiology, Faculty of Medicine, Universiti Malaya, Kuala Lumpur, Malaysia.",
40595074,Evaluating miscarriage incidence after COVID-19 vaccination.,2025 Jul 1,,,
40594764,Efficacy and safety of a novel multivalent mRNA vaccine against SARS-CoV-2 in experimental animals.,2025 Jul 1,Jeong SI; Song JY; Lee IC,"Rnagene Co., Ltd., 603-605, 7 Beobwon-ro 6-gil, Songpa-gu, Seoul-si, 05855, Republic of Korea.; Rnagene Co., Ltd., 603-605, 7 Beobwon-ro 6-gil, Songpa-gu, Seoul-si, 05855, Republic of Korea.; Rnagene Co., Ltd., 603-605, 7 Beobwon-ro 6-gil, Songpa-gu, Seoul-si, 05855, Republic of Korea.",
40594658,A NoSQL document based eCRF system for study of vaccines with variable adverse events case study on COVID19 vaccines.,2025 Jul 1,,,
40594462,A 22 month prospective assessment of neutralizing and IgG antibody levels against SARS-CoV-2 variants following homologous and heterologous BNT162b2 boosting.,2025 Jul 1,Anuar ND; Tan TM,"Sengenics Corporation, Level M, Plaza Zurich, Damansara Heights, 50490, Kuala Lumpur, Malaysia.; Sengenics Corporation, Level M, Plaza Zurich, Damansara Heights, 50490, Kuala Lumpur, Malaysia.",
40594178,Tough talks COVID-19 (TT-C) digital health intervention: multistate randomized controlled trial.,2025 Jul 1,Stoner MCD; Browne E; Michaels J; Mancuso N; Larsen MA; Maragh-Bass AC; Comello MLG,"RTI, Research Triangle Park, Chapel Hill, NC, United States.; RTI, Research Triangle Park, Chapel Hill, NC, United States.; RTI, Research Triangle Park, Chapel Hill, NC, United States.; RTI, Research Triangle Park, Chapel Hill, NC, United States.; Virtually Better, Inc, Decatur, GA, USA.; Behavioral, Epidemiological, Clinical Sciences Division, FHI 360, Durham, NC, England.; Behavioral, Epidemiological, Clinical Sciences Division, FHI 360, Durham, NC, England.",
40593808,Age-associated defect in ADCC response to COVID-19 vaccine.,2025 Jul 1,,,
40593795,Identification of SARS-CoV-2-binding lectins on a commercial lectin array.,2025 Jul 1,,,
40593765,Systems vaccinology identifies immunological correlates of SARS-CoV-2 vaccine response in solid organ transplant recipients.,2025 Jul 1,Neumann J; Veiga R; Etienne I; Depickere S; Olislagers V; Waegemans A; Bucken L; Goossens ME; Desombere I; Le Moine A; Marchant A; Humblet-Baron S,"Department of Nephrology, Dialysis and Renal Transplantation, H.U.B. Erasme, Universite libre de Bruxelles (ULB), Brussels, Belgium.; KU Leuven, Department of Microbiology, Immunology and Transplantation, Leuven, Belgium.; VIB Center for Brain and Disease Research, Leuven, Belgium.; Chest Department, H.U.B. Erasme, Universite libre de Bruxelles (ULB), Brussels, Belgium.; KU Leuven, Department of Microbiology, Immunology and Transplantation, Leuven, Belgium.; Department of Nephrology, Dialysis and Renal Transplantation, H.U.B. Erasme, Universite libre de Bruxelles (ULB), Brussels, Belgium.; Department of Infectious Diseases in Humans, Sciensano, Brussels, Belgium.; KU Leuven, Department of Microbiology, Immunology and Transplantation, Leuven, Belgium.; KU Leuven, Department of Microbiology, Immunology and Transplantation, Leuven, Belgium.; Department of Infectious Diseases in Humans, Sciensano, Brussels, Belgium.; Department of Infectious Diseases in Humans, Sciensano, Brussels, Belgium.; KU Leuven, Department of Microbiology, Immunology and Transplantation, Leuven, Belgium.",
40593634,Extracting circumstances of Covid-19 transmission from free text with large language models.,2025 Jul 1,Bizel-Bizellot G; Galmiche S; Charmet T; Coudeville L; Fontanet A; Zimmer C,"Institut Pasteur, Universite Paris Cite, Imaging and Modeling Unit, Paris, France.; Institut Pasteur, Universite Paris Cite, Epidemiology of Emerging Diseases Unit, Paris, France.; Institut Pasteur, Universite Paris Cite, Imaging and Modeling Unit, Paris, France.; Institut Pasteur, Universite Paris Cite, Image Analysis Hub, Paris, France.; Institut Pasteur, Universite Paris Cite, Epidemiology of Emerging Diseases Unit, Paris, France.; Sanofi Vaccines, Global Medical, Lyon, France.",
40592905,Global estimates of vaccine-associated narcolepsy from 1967 to 2023.,2025 Jul 1,,,
40592802,Inactivated Mycobacterial Vaccine Nebulized Inhalation: A Effective Therapy for the Prevention and Treatment of Respiratory Diseases?,2025,,,
40592680,SEPAR Recommendations on Vaccination for Chronic Respiratory Patients.,2025 Jun 17,Menendez Villanueva R; Cabrera Martinez MM,"Instituto de Investigacion Sanitaria La Fe, Valencia, Spain.; Enfermera de Atencion Primaria, Adeje, Servicio Canario de la Salud, Gerencia de Santa Cruz de Tenerife, Spain.",
40591528,Influenza Vaccination Coverage and Determinants of New Vaccinations During the COVID-19 Pandemic in Spain (ENE-COVID): Nationwide Population-Based Study.,2025 Jul 1,de la Camara MA; Pastor-Barriuso R; Larrauri A; Fernandez-Navarro P; Pollan M; Perez-Gomez B,"National Centre for Epidemiology, Instituto de Salud Carlos III, Monforte de Lemos, 5, Madrid, Spain, 34 918222862.; National Centre for Epidemiology, Instituto de Salud Carlos III, Monforte de Lemos, 5, Madrid, Spain, 34 918222862.; Consortium for Biomedical Research in Epidemiology and Public Health (CIBERESP), Madrid, Spain.; National Centre for Epidemiology, Instituto de Salud Carlos III, Monforte de Lemos, 5, Madrid, Spain, 34 918222862.; Consortium for Biomedical Research in Epidemiology and Public Health (CIBERESP), Madrid, Spain.; National Centre for Epidemiology, Instituto de Salud Carlos III, Monforte de Lemos, 5, Madrid, Spain, 34 918222862.",
40591130,Safety and Immunogenicity of Monovalent Omicron KP.2-Adapted BNT162b2 COVID-19 Vaccine in Adults: Single-Arm Substudy from a Phase 2/3 Trial.,2025 Jul 1,Diya O; Gayed J; Mensa F; Cutler M; Belanger T; Cooper D; Tureci O; Sahin U; Swanson KA; Modjarrad K; Anderson AS; Gurtman A; Kitchin N,"Vaccine Research and Development, Pfizer Ltd, Marlow, UK.; Vaccine Research and Development, Pfizer Ltd, Marlow, UK. juleen.gayed@pfizer.com.; BioNTech, Mainz, Germany.; Vaccine Research and Development, Pfizer Inc, Pearl River, NY, USA.; Vaccine Research and Development, Pfizer Inc, Pearl River, NY, USA.; Vaccine Research and Development, Pfizer Inc, Pearl River, NY, USA.; BioNTech, Mainz, Germany.; BioNTech, Mainz, Germany.; Vaccine Research and Development, Pfizer Inc, Pearl River, NY, USA.; Vaccine Research and Development, Pfizer Inc, Pearl River, NY, USA.; Vaccine Research and Development, Pfizer Inc, Pearl River, NY, USA.; Vaccine Research and Development, Pfizer Inc, Pearl River, NY, USA.; Vaccine Research and Development, Pfizer Ltd, Marlow, UK.",
40590561,COVID-19 Risk in Patients with Autoimmune Diseases Using Biologics or Small Molecules: A Population-Based Cohort Study.,2025 Jul 1,,,
40590260,Developing the next-generation of adenoviral vector vaccines.,2025 Dec,,,
40589754,A novel and safe SmartCap((R)) SC101 to develop the COVID-19 mRNA vaccine STP2104 inducing potent immune responses in humans.,2025,Kim R; Uhm TG; Kim J; Woo D; Kim UI; Meng X; Yang B; Kim S; Kim H; Kim J; Lee JY; Kim B; Cho D; Chang D; Cho YH; Choi K; Lee HW; Bang J; Hellstrom E; Kim K; Yang JS,"R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; Be Part Research (PTY) Ltd., Paarl, South Africa.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.",
40589223,Editorial: The 2025 World Health Assembly Pandemic Agreement and the 2024 Amendments to the International Health Regulations Combine for Pandemic Preparedness and Response.,2025 Jul 1,Parums DV,"Science Editor, Medical Science Monitor, International Scientific Information, Inc., Melville, NY, USA.",
